Especie;Nome_cientifico;Comercial;DAP;HCom;Volume;QF
NAO IDENTIFICADA;Nao Identificada;Nao;20;10;0,23;2
EMBIRA;Lecythidaceae;Nao;34;13;0,83;1
NAO IDENTIFICADA;Nao Identificada;Nao;18;6;0,11;1
SUCUPIRA;Leguminosae-Papilionoideae;Nao;18;7;0,13;1
CANELA;Lauraceae;Nao;24;10;0,32;1
TACHI;Lecythidaceae;Sim;21;10;0,25;1
ENVIRA CAJU;Annonaceae;Nao;20;11;0,25;2
JUTAI;Leguminosae-Caesalpinioideae;Nao;38;13;1,04;2
CATUABA;Vochysiaceae;Sim;57;13;2,32;1
NAO IDENTIFICADA;Nao Identificada;Nao;22;7;0,19;2
CANELA;Lauraceae;Nao;37;12;0,92;2
LIBRA/CAMBARA PRETO;Vochysiaceae;Sim;50;10;1,36;1
NAO IDENTIFICADA;Nao Identificada;Nao;15;5;0,06;1
NAO IDENTIFICADA;Nao Identificada;Nao;29;11;0,51;3
CAROBA;Bignoniaceae;Sim;17;9;0,15;3
ROXINHO;Leguminosae;Sim;28;10;0,44;1
SUCUPIRA;Leguminosae-Papilionoideae;Nao;27;13;0,54;1
CANELA;Lauraceae;Nao;38;7;0,55;1
CANELA;Lauraceae;Nao;36;13;0,92;1
CANELA;Lauraceae;Nao;29;12;0,57;1
ITAUBA;Lauraceae;Nao;21;12;0,29;2
PAMA;Moraceae;Nao;16;7;0,09;2
NAO IDENTIFICADA;Nao Identificada;Nao;31;6;0,31;2
TACHI;Lecythidaceae;Sim;50;11;1,49;2
NAO IDENTIFICADA;Nao Identificada;Nao;16;5;0,07;1
CANELA;Lauraceae;Nao;59;12;2,26;1
NAO IDENTIFICADA;Nao Identificada;Nao;17;5;0,08;1
NAO IDENTIFICADA;Nao Identificada;Nao;15;4;0,05;1
ITAUBA;Lauraceae;Nao;18;6;0,1;1
CANELA;Lauraceae;Nao;21;9;0,21;2
NAO IDENTIFICADA;Nao Identificada;Nao;23;5;0,14;2
NAO IDENTIFICADA;Nao Identificada;Nao;26;10;0,38;2
CANELA;Lauraceae;Nao;42;10;0,97;2
PAMA;Moraceae;Nao;17;7;0,11;1
NAO IDENTIFICADA;Nao Identificada;Nao;15;9;0,11;1
NAO IDENTIFICADA;Nao Identificada;Nao;17;8;0,13;1
NAO IDENTIFICADA;Nao Identificada;Nao;15;7;0,09;2
QUARUBA/CEDRILHO;Vochysiaceae;Nao;45;12;1,35;1
TACHI;Lecythidaceae;Sim;30;10;0,49;1
NAO IDENTIFICADA;Nao Identificada;Nao;26;13;0,48;2
NAO IDENTIFICADA;Nao Identificada;Nao;35;6;0,4;2
CATUABA;Vochysiaceae;Sim;27;11;0,43;1
NAO IDENTIFICADA;Nao Identificada;Nao;26;6;0,22;1
NAO IDENTIFICADA;Nao Identificada;Nao;20;5;0,11;1
TACHI;Lecythidaceae;Sim;46;12;1,42;2
PEROBA AMAZONAS/PEROBA D'AGUA;Apocynaceae;Nao;20;12;0,27;1
PAMA;Moraceae;Nao;26;10;0,38;3
NAO IDENTIFICADA;Nao Identificada;Nao;19;7;0,15;1
TACHI;Lecythidaceae;Sim;32;6;0,33;2
CATUABA;Vochysiaceae;Sim;20;12;0,27;1
TACHI;Lecythidaceae;Sim;26;13;0,5;1
SUCUPIRA;Leguminosae-Papilionoideae;Nao;31;8;0,43;2
GUARANTA;Rutaceae;Sim;36;13;0,91;1
NAO IDENTIFICADA;Nao Identificada;Nao;48;7;0,9;3
NAO IDENTIFICADA;Nao Identificada;Nao;18;4;0,08;2
GUANANDI;Guttiferae;Sim;41;6;0,56;2
NAO IDENTIFICADA;Nao Identificada;Nao;38;12;0,93;1
NAO IDENTIFICADA;Nao Identificada;Nao;19;5;0,1;1
NAO IDENTIFICADA;Nao Identificada;Nao;20;7;0,15;1
NAO IDENTIFICADA;Nao Identificada;Nao;26;12;0,44;2
TACHI;Lecythidaceae;Sim;20;6;0,13;2
JUTAI;Leguminosae-Caesalpinioideae;Nao;33;9;0,55;1
NAO IDENTIFICADA;Nao Identificada;Nao;18;11;0,2;1
CANELA;Lauraceae;Nao;46;10;1,19;1
NAO IDENTIFICADA;Nao Identificada;Nao;27;9;0,35;2
LIBRA/CAMBARA PRETO;Vochysiaceae;Sim;25;8;0,29;1
LIBRA/CAMBARA PRETO;Vochysiaceae;Sim;75;10;3,1;1
ITAUBA;Lauraceae;Nao;15;7;0,09;1
TACHI;Lecythidaceae;Sim;21;8;0,19;1
SORVEIRA;Apocynaceae;Nao;16;8;0,11;1
NAO IDENTIFICADA;Nao Identificada;Nao;26;8;0,3;1
SORVEIRA;Apocynaceae;Nao;17;12;0,18;1
GUARANTA;Rutaceae;Sim;32;13;0,72;1
JUTAI;Leguminosae-Caesalpinioideae;Nao;38;12;0,96;3
GUARANTA;Rutaceae;Sim;53;13;2,04;1
ITAUBA;Lauraceae;Nao;15;4;0,05;1
NAO IDENTIFICADA;Nao Identificada;Nao;23;7;0,2;2
PAMA;Moraceae;Nao;18;7;0,13;2
NAO IDENTIFICADA;Nao Identificada;Nao;17;5;0,08;2
CANELA;Lauraceae;Nao;15;5;0,06;2
NAO IDENTIFICADA;Nao Identificada;Nao;24;10;0,32;1
NAO IDENTIFICADA;Nao Identificada;Nao;21;6;0,15;1
CANELA;Lauraceae;Nao;21;7;0,18;1
CANELA;Lauraceae;Nao;19;5;0,1;2
NAO IDENTIFICADA;Nao Identificada;Nao;18;6;0,11;1
CANELA;Lauraceae;Nao;33;12;0,71;1
ROXINHO;Leguminosae;Sim;40;7;0,63;1
NAO IDENTIFICADA;Nao Identificada;Nao;22;7;0,19;2
NAO IDENTIFICADA;Nao Identificada;Nao;22;11;0,28;1
PEROBA AMAZONAS/PEROBA D'AGUA;Apocynaceae;Nao;43;7;0,71;1
