model;make;year;date;price
ARGO 1.0 6V Flex.;Fiat;0 km;2018-06-01;44885
ARGO 1.0 6V Flex.;Fiat;0 km;2018-07-01;44885
ARGO 1.0 6V Flex.;Fiat;0 km;2018-08-01;44886
ARGO 1.0 6V Flex.;Fiat;0 km;2018-09-01;45610
ARGO 1.0 6V Flex.;Fiat;0 km;2018-10-01;45761
ARGO 1.0 6V Flex.;Fiat;0 km;2018-11-01;45533
ARGO 1.0 6V Flex.;Fiat;0 km;2018-12-01;46138
ARGO 1.0 6V Flex.;Fiat;0 km;2019-01-01;45784
ARGO 1.0 6V Flex.;Fiat;0 km;2019-02-01;45632
ARGO 1.0 6V Flex.;Fiat;0 km;2019-03-01;45905
ARGO 1.0 6V Flex.;Fiat;0 km;2019-04-01;46432
ARGO 1.0 6V Flex.;Fiat;0 km;2019-05-01;46307
ARGO 1.0 6V Flex.;Fiat;0 km;2019-06-01;46785
ARGO 1.0 6V Flex.;Fiat;0 km;2019-07-01;46249
ARGO 1.0 6V Flex.;Fiat;0 km;2019-08-01;46935
ARGO 1.0 6V Flex.;Fiat;2019;2018-09-01;41718
ARGO 1.0 6V Flex.;Fiat;2019;2018-10-01;42282
ARGO 1.0 6V Flex.;Fiat;2019;2018-11-01;41918
ARGO 1.0 6V Flex.;Fiat;2019;2018-12-01;41026
ARGO 1.0 6V Flex.;Fiat;2019;2019-01-01;40659
ARGO 1.0 6V Flex.;Fiat;2019;2019-02-01;40484
ARGO 1.0 6V Flex.;Fiat;2019;2019-03-01;40313
ARGO 1.0 6V Flex.;Fiat;2019;2019-04-01;40143
ARGO 1.0 6V Flex.;Fiat;2019;2019-05-01;39994
ARGO 1.0 6V Flex.;Fiat;2019;2019-06-01;39745
ARGO 1.0 6V Flex.;Fiat;2019;2019-07-01;40471
ARGO 1.0 6V Flex.;Fiat;2019;2019-08-01;40593
ARGO 1.0 6V Flex.;Fiat;2018;2018-06-01;41294
ARGO 1.0 6V Flex.;Fiat;2018;2018-07-01;41294
ARGO 1.0 6V Flex.;Fiat;2018;2018-08-01;41131
ARGO 1.0 6V Flex.;Fiat;2018;2018-09-01;40308
ARGO 1.0 6V Flex.;Fiat;2018;2018-10-01;40857
ARGO 1.0 6V Flex.;Fiat;2018;2018-11-01;40652
ARGO 1.0 6V Flex.;Fiat;2018;2018-12-01;39627
ARGO 1.0 6V Flex.;Fiat;2018;2019-01-01;39388
ARGO 1.0 6V Flex.;Fiat;2018;2019-02-01;39226
ARGO 1.0 6V Flex.;Fiat;2018;2019-03-01;39065
ARGO 1.0 6V Flex.;Fiat;2018;2019-04-01;38908
ARGO 1.0 6V Flex.;Fiat;2018;2019-05-01;38784
ARGO 1.0 6V Flex.;Fiat;2018;2019-06-01;38215
ARGO 1.0 6V Flex.;Fiat;2018;2019-07-01;39132
ARGO 1.0 6V Flex.;Fiat;2018;2019-08-01;39305
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2017-07-01;46235
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2017-08-01;46737
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2017-09-01;46732
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2017-10-01;47011
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2017-11-01;47255
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2017-12-01;47424
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-01-01;47271
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-02-01;47055
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-03-01;46528
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-04-01;45856
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-05-01;45538
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-06-01;45978
