modelo;marca;ano;data_referencia;valor
ARGO 1.0 6V Flex.;Fiat;0 km;2018-06-01;44885
ARGO 1.0 6V Flex.;Fiat;0 km;2018-07-01;44885
ARGO 1.0 6V Flex.;Fiat;0 km;2018-08-01;44886
ARGO 1.0 6V Flex.;Fiat;0 km;2018-09-01;45610
ARGO 1.0 6V Flex.;Fiat;0 km;2018-10-01;45761
ARGO 1.0 6V Flex.;Fiat;0 km;2018-11-01;45533
ARGO 1.0 6V Flex.;Fiat;0 km;2018-12-01;46138
ARGO 1.0 6V Flex.;Fiat;2018;2018-06-01;41294
ARGO 1.0 6V Flex.;Fiat;2018;2018-07-01;41294
ARGO 1.0 6V Flex.;Fiat;2018;2018-08-01;41131
ARGO 1.0 6V Flex.;Fiat;2018;2018-09-01;40308
ARGO 1.0 6V Flex.;Fiat;2018;2018-10-01;40857
ARGO 1.0 6V Flex.;Fiat;2018;2018-11-01;40652
ARGO 1.0 6V Flex.;Fiat;2018;2018-12-01;39627
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-01-01;47271
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-02-01;47055
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-03-01;46528
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-04-01;45856
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-05-01;45538
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-06-01;45978
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-07-01;45535
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-08-01;45640
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-09-01;47030
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-10-01;47453
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-11-01;47025
ARGO DRIVE 1.0 6V Flex;Fiat;0 km;2018-12-01;47159
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-01-01;42879
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-02-01;42865
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-03-01;42704
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-04-01;42120
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-05-01;42159
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-06-01;42745
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-07-01;42451
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-08-01;41440
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-09-01;41622
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-10-01;41633
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-11-01;42188
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-12-01;41458
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-01-01;55510
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-02-01;55517
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-03-01;55071
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-04-01;55045
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-05-01;55202
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-06-01;55089
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-07-01;54804
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-08-01;54492
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-09-01;55500
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-10-01;53059
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-11-01;52976
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-12-01;53819
