sigla;ano;focos
AC;2011;13
AL;2011;127
AM;2011;159
AP;2011;5
BA;2011;883
CE;2011;44
DF;2011;8
ES;2011;55
GO;2011;492
MA;2011;656
MG;2011;615
MS;2011;396
MT;2011;1972
PA;2011;243
PB;2011;25
PE;2011;140
PI;2011;418
PR;2011;316
RJ;2011;67
RN;2011;24
RO;2011;145
RR;2011;543
RS;2011;162
SC;2011;65
SE;2011;127
SP;2011;515
TO;2011;970
AC;2012;12
AL;2012;162
AM;2012;87
AP;2012;47
BA;2012;1759
CE;2012;368
DF;2012;7
ES;2012;157
GO;2012;483
MA;2012;1299
MG;2012;811
MS;2012;777
MT;2012;3105
PA;2012;652
PB;2012;108
PE;2012;344
PI;2012;1177
PR;2012;272
RJ;2012;43
RN;2012;109
RO;2012;73
RR;2012;506
RS;2012;334
SC;2012;217
SE;2012;204
SP;2012;384
TO;2012;1427
AC;2013;27
AL;2013;127
AM;2013;173
AP;2013;5
BA;2013;1109
CE;2013;182
DF;2013;6
ES;2013;68
GO;2013;493
MA;2013;727
MG;2013;632
MS;2013;614
MT;2013;3010
PA;2013;380
PB;2013;62
PE;2013;151
PI;2013;381
PR;2013;264
RJ;2013;31
RN;2013;64
RO;2013;76
RR;2013;731
RS;2013;180
SC;2013;173
SE;2013;165
SP;2013;439
TO;2013;1124
AC;2014;19
AL;2014;130
AM;2014;246
AP;2014;13
BA;2014;954
CE;2014;157
DF;2014;15
ES;2014;74
GO;2014;711
MA;2014;1055
MG;2014;985
MS;2014;684
MT;2014;4202
PA;2014;590
PB;2014;110
PE;2014;175
PI;2014;603
PR;2014;386
RJ;2014;227
RN;2014;54
RO;2014;116
RR;2014;1297
RS;2014;327
SC;2014;179
SE;2014;79
SP;2014;735
TO;2014;1966
AC;2015;28
AL;2015;242
AM;2015;232
AP;2015;18
BA;2015;1141
CE;2015;287
DF;2015;3
ES;2015;211
GO;2015;652
MA;2015;1439
MG;2015;670
MS;2015;825
MT;2015;4592
PA;2015;1139
PB;2015;81
PE;2015;247
PI;2015;449
PR;2015;521
RJ;2015;185
RN;2015;76
RO;2015;153
RR;2015;1201
RS;2015;585
SC;2015;283
SE;2015;184
SP;2015;464
TO;2015;1760
AC;2016;75
AL;2016;67
AM;2016;1270
AP;2016;27
BA;2016;1818
CE;2016;159
DF;2016;42
ES;2016;299
GO;2016;889
MA;2016;1558
MG;2016;923
MS;2016;786
MT;2016;6281
PA;2016;2225
PB;2016;27
PE;2016;64
PI;2016;424
PR;2016;600
RJ;2016;110
RN;2016;22
RO;2016;386
RR;2016;3161
RS;2016;398
SC;2016;199
SE;2016;81
SP;2016;885
TO;2016;2347
