state;code;month;rainfall
Acre;AC;1;290,1
Acre;AC;2;279,1
Acre;AC;3;277,7
Acre;AC;4;218,7
Acre;AC;5;135,4
Acre;AC;6;70,2
Acre;AC;7;65,7
Acre;AC;8;74,7
Acre;AC;9;163,2
Acre;AC;10;219,8
Acre;AC;11;232,5
Acre;AC;12;260,3
Alagoas;AL;1;44,9
Alagoas;AL;2;57,8
Alagoas;AL;3;95,5
Alagoas;AL;4;140,2
Alagoas;AL;5;175,9
Alagoas;AL;6;170,7
Alagoas;AL;7;164,4
Alagoas;AL;8;93,7
Alagoas;AL;9;70,5
Alagoas;AL;10;35,0
Alagoas;AL;11;28,6
Alagoas;AL;12;39,6
Amazonas;AM;1;293,2
Amazonas;AM;2;276,6
Amazonas;AM;3;316,2
Amazonas;AM;4;300,8
Amazonas;AM;5;271,6
Amazonas;AM;6;183,5
Amazonas;AM;7;142,0
Amazonas;AM;8;124,4
Amazonas;AM;9;157,1
Amazonas;AM;10;188,6
Amazonas;AM;11;205,9
Amazonas;AM;12;232,5
Amapá;AP;1;299,9
Amapá;AP;2;330,8
Amapá;AP;3;399,9
Amapá;AP;4;419,7
Amapá;AP;5;482,0
Amapá;AP;6;344,5
Amapá;AP;7;265,6
Amapá;AP;8;138,8
Amapá;AP;9;55,1
Amapá;AP;10;39,2
Amapá;AP;11;73,2
Amapá;AP;12;160,7
Bahia;BA;1;95,5
Bahia;BA;2;88,0
Bahia;BA;3;104,9
Bahia;BA;4;93,7
Bahia;BA;5;72,2
Bahia;BA;6;64,6
Bahia;BA;7;62,7
Bahia;BA;8;43,6
Bahia;BA;9;41,4
Bahia;BA;10;63,8
Bahia;BA;11;114,2
Bahia;BA;12;116,7
Ceará;CE;1;88,4
Ceará;CE;2;147,1
Ceará;CE;3;233,8
Ceará;CE;4;218,1
Ceará;CE;5;118,6
Ceará;CE;6;46,7
Ceará;CE;7;21,7
Ceará;CE;8;5,5
Ceará;CE;9;4,8
Ceará;CE;10;6,5
Ceará;CE;11;11,4
