data;ppt;t_max;t_med;t_min;ur_med
26/09/2006;;;;;
27/09/2006;0;31,1;22,5;16,1;61,2
28/09/2006;0;32,1;24,9;18,2;53,6
29/09/2006;0;31,4;24,9;20,8;52
30/09/2006;6,2;29,1;22,4;18,3;66,2
01/10/2006;0;26,9;22,3;18,6;75,4
02/10/2006;27,4;28,9;23,1;18,2;78,1
03/10/2006;0;32,2;25,6;21,3;72,8
04/10/2006;3,8;31,3;24,5;19,6;73,5
05/10/2006;7,8;31,5;25,4;20,3;74,1
06/10/2006;4,2;27,1;22,6;19,7;83,7
07/10/2006;0;31,1;25,3;21,3;75,8
08/10/2006;0;30,6;24,9;19,8;72,5
09/10/2006;0;31,9;25;18,6;66,1
10/10/2006;0;32,1;25,4;19;64,5
11/10/2006;0;31,8;25,5;20,2;64,5
12/10/2006;13,8;29,9;24;20,5;77,5
13/10/2006;0,2;29,3;24;21,1;83,2
14/10/2006;0;31,1;25,1;20,3;74,4
15/10/2006;0;31,8;25,6;20,9;72
16/10/2006;6,6;31,1;25,3;21,1;77,8
17/10/2006;0;28,7;24,2;19,9;75,3
18/10/2006;34,8;29,9;23,5;18,7;70,9
19/10/2006;69,2;27,2;22,3;18,8;83
20/10/2006;0;29,5;22,7;17,3;68,5
21/10/2006;0;29,6;22,4;16,1;61,4
22/10/2006;0;29,8;22;14,3;52
23/10/2006;0;29,6;22,7;15,6;46,9
24/10/2006;0;29,4;22,5;16,9;60,3
25/10/2006;24,6;31;24,8;20,3;71,2
26/10/2006;0;32,6;26,1;20,7;68,9
27/10/2006;0;35;28,2;21,7;61,1
28/10/2006;0;33,8;27,9;22,3;61,5
29/10/2006;0;31,8;24,9;16,9;53,2
30/10/2006;0;33,7;26,1;19,1;50,5
31/10/2006;0;35,4;28,6;22,5;43,6
01/11/2006;0;31,1;27,4;23,1;59,5
02/11/2006;0,2;30,1;25,1;22,8;77,2
03/11/2006;0;32,9;26,2;22;74,5
04/11/2006;0,6;32,6;26,2;22,5;71,2
05/11/2006;0;32,1;26,3;20,7;66,2
06/11/2006;2,6;31,9;25,5;20,7;71,4
07/11/2006;0;31,8;24,7;20,5;70,8
08/11/2006;0;29,5;23;16,6;58,1
09/11/2006;0;29,5;22,3;14,5;53
10/11/2006;1,8;28,1;22,8;15,1;47,7
11/11/2006;0;27,2;20,5;12,9;51,4
12/11/2006;0;28,5;21,5;14,7;47,6
13/11/2006;0;30;22,4;16,2;54,8
14/11/2006;0;30,3;22,9;16,4;56,9
15/11/2006;0;33,6;25,2;18,2;53,5
16/11/2006;0;35,6;26,7;19,9;53,3
17/11/2006;0;36,2;28,7;23,3;51,2
18/11/2006;0;37,9;30,3;23,7;46,4
19/11/2006;14,2;35,6;26,6;23;69,8
20/11/2006;0;33,4;25,9;21,1;72,8
21/11/2006;0;31,7;24,7;19,4;67,8
22/11/2006;0;35,1;26,9;19,4;58,1
23/11/2006;0;35,6;28,6;21,7;46,8
24/11/2006;0;36,3;28,8;21,9;43
25/11/2006;2,6;34;28,2;22,6;56,1
26/11/2006;16,8;32;24,8;21,5;81,1
27/11/2006;0;32,8;25,4;21,2;77,4
28/11/2006;0;30,4;26,3;23,2;74,3
29/11/2006;7,4;33,1;25,6;21,9;78,2
30/11/2006;0;33,4;27,2;22,9;74
01/12/2006;0;32,8;25,9;20,1;60,5
02/12/2006;0;32,1;25,7;19,2;59,6
03/12/2006;0,6;32,1;26,3;21,7;70,7
04/12/2006;12,6;28,1;24;21,2;84,4
05/12/2006;14;26,9;23,1;21,4;89,3
06/12/2006;2,6;31,3;25,4;21,7;80,2
07/12/2006;11,4;28,4;23,8;20,2;79,9
08/12/2006;22,4;30,1;24,1;19,5;77,4
09/12/2006;42,2;27,6;23,3;21,3;88,5
10/12/2006;7,4;31,5;25,3;20,7;77,7
11/12/2006;18,4;31,8;25,5;19,9;69,5
12/12/2006;0;31,5;25,7;20,2;65,6
13/12/2006;0;31,6;26;20,4;67,4
