nome;municipio_cod;municipio_nome;nascimento_periodo;nascimento_decada;frequencia
ELIZA;1100205;Porto Velho;[1960, 1970];1960; 11
ELIZA;1100205;Porto Velho;[1970, 1980];1970; 13
ELIZA;1100205;Porto Velho;[1980, 1990];1980; 11
ELIZA;1100205;Porto Velho;[2000, 2010];2000; 20
ELIZA;1200401;Rio Branco;[2000, 2010];2000; 14
ELIZA;1302603;Manaus;[    , 1930];1930; 14
ELIZA;1302603;Manaus;[1940, 1950];1940; 18
ELIZA;1302603;Manaus;[1950, 1960];1950; 25
ELIZA;1302603;Manaus;[1960, 1970];1960; 42
ELIZA;1302603;Manaus;[1970, 1980];1970; 63
ELIZA;1302603;Manaus;[1980, 1990];1980; 82
ELIZA;1302603;Manaus;[1990, 2000];1990; 64
ELIZA;1302603;Manaus;[2000, 2010];2000;106
ELIZA;1303403;Parintins;[1990, 2000];1990; 12
ELIZA;1303403;Parintins;[2000, 2010];2000; 11
ELIZA;1400100;Boa Vista;[1980, 1990];1980; 17
ELIZA;1400100;Boa Vista;[1990, 2000];1990; 11
ELIZA;1400100;Boa Vista;[2000, 2010];2000; 14
ELIZA;1500107;Abaetetuba;[2000, 2010];2000; 11
ELIZA;1500800;Ananindeua;[1970, 1980];1970; 19
ELIZA;1500800;Ananindeua;[1980, 1990];1980; 18
ELIZA;1500800;Ananindeua;[1990, 2000];1990; 26
ELIZA;1500800;Ananindeua;[2000, 2010];2000; 21
ELIZA;1501402;Belém;[    , 1930];1930; 10
ELIZA;1501402;Belém;[1940, 1950];1940; 16
ELIZA;1501402;Belém;[1950, 1960];1950; 21
ELIZA;1501402;Belém;[1960, 1970];1960; 41
ELIZA;1501402;Belém;[1970, 1980];1970; 44
ELIZA;1501402;Belém;[1980, 1990];1980; 53
ELIZA;1501402;Belém;[1990, 2000];1990; 43
ELIZA;1501402;Belém;[2000, 2010];2000; 59
ELIZA;1506807;Santarém;[1990, 2000];1990; 12
ELIZA;1506807;Santarém;[2000, 2010];2000; 16
ELIZA;1600303;Macapá;[1980, 1990];1980; 15
ELIZA;1600303;Macapá;[2000, 2010];2000; 15
ELIZA;2105302;Imperatriz;[2000, 2010];2000; 12
ELIZA;2111300;São Luís;[    , 1930];1930; 12
ELIZA;2111300;São Luís;[1940, 1950];1940; 11
ELIZA;2111300;São Luís;[1950, 1960];1950; 16
ELIZA;2111300;São Luís;[1960, 1970];1960; 13
ELIZA;2111300;São Luís;[1970, 1980];1970; 20
ELIZA;2111300;São Luís;[1980, 1990];1980; 20
ELIZA;2111300;São Luís;[1990, 2000];1990; 10
ELIZA;2111300;São Luís;[2000, 2010];2000; 14
ELIZA;2211001;Teresina;[1930, 1940];1930; 10
ELIZA;2211001;Teresina;[1950, 1960];1950; 19
ELIZA;2211001;Teresina;[1960, 1970];1960; 15
ELIZA;2211001;Teresina;[1970, 1980];1970; 13
ELIZA;2211001;Teresina;[1990, 2000];1990; 12
ELIZA;2211001;Teresina;[2000, 2010];2000; 16
ELIZA;2304400;Fortaleza;[    , 1930];1930; 19
ELIZA;2304400;Fortaleza;[1930, 1940];1930; 22
ELIZA;2304400;Fortaleza;[1940, 1950];1940; 20
