"ref";"marca";"modelo";"cambio";"motor";"ano";"valor"
2017-12-01;"Citroën";"C3 Attra/Origine Pack 1.5 Flex 8V 5p Mec";"manual";1,5;"2017";44663
2017-12-01;"Citroën";"C3 Attra/Origine Pack 1.5 Flex 8V 5p Mec";"manual";1,5;"2016";39618
2017-12-01;"Citroën";"C3 Attraction 1.6 Flex 16V 5p Aut.";"automatico";1,6;"0 km";57112
2017-12-01;"Citroën";"C3 Attraction 1.6 Flex 16V 5p Aut.";"automatico";1,6;"2018";51451
2017-12-01;"Citroën";"C3 Attraction Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"0 km";52286
2017-12-01;"Citroën";"C3 Attraction Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"2018";47852
2017-12-01;"Citroën";"C3 Attraction Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"2017";46245
2017-12-01;"Citroën";"C3 Attraction Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"2016";43024
2017-12-01;"Citroën";"C3 Excl. 1.6 VTi Flex Start 16V 5p Aut.";"automatico";1,6;"0 km";64421
2017-12-01;"Citroën";"C3 Excl. 1.6 VTi Flex Start 16V 5p Aut.";"automatico";1,6;"2018";58479
2017-12-01;"Citroën";"C3 Excl. 1.6 VTi Flex Start 16V 5p Aut.";"automatico";1,6;"2017";53751
2017-12-01;"Citroën";"C3 Excl. 1.6 VTi Flex Start 16V 5p Aut.";"automatico";1,6;"2016";48702
2017-12-01;"Citroën";"C3 Exclusive 1.5 Flex 8V 5p Mec.";"manual";1,5;"2016";46408
2017-12-01;"Citroën";"C3 Origine 1.5 Flex 8V 5p Mec.";"manual";1,5;"0 km";43400
2017-12-01;"Citroën";"C3 Origine 1.5 Flex 8V 5p Mec.";"manual";1,5;"2017";39212
2017-12-01;"Citroën";"C3 Origine 1.5 Flex 8V 5p Mec.";"manual";1,5;"2016";38004
2017-12-01;"Citroën";"C3 Origine Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"0 km";47250
2017-12-01;"Citroën";"C3 Origine Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"2018";42755
2017-12-01;"Citroën";"C3 Origine Pure Tech 1.2 Flex 12V Mec";"manual";1,2;"2017";40467
2017-12-01;"Citroën";"C3 Start 1.2 Flex 12V 5p";"automatico";1,2;"0 km";43742
2017-12-01;"Citroën";"C3 Start 1.2 Flex 12V 5p";"automatico";1,2;"2018";39379
2017-12-01;"Citroën";"C3 Start 1.2 Flex 12V 5p";"automatico";1,2;"2017";37849
2017-12-01;"Citroën";"C3 Style Ed. Pure Tech 1.2 Flex 12V Mec.";"manual";1,2;"0 km";52510
2017-12-01;"Citroën";"C3 Style Ed. Pure Tech 1.2 Flex 12V Mec.";"manual";1,2;"2017";48015
2017-12-01;"Citroën";"C3 Style Edition 1.6 Flex 16V Aut.";"automatico";1,6;"0 km";61340
2017-12-01;"Citroën";"C3 Style Edition 1.6 Flex 16V Aut.";"automatico";1,6;"2017";55224
2017-12-01;"Citroën";"C3 Tendance 1.5 Flex 8V 5p Mec.";"manual";1,5;"0 km";50538
2017-12-01;"Citroën";"C3 Tendance 1.5 Flex 8V 5p Mec.";"manual";1,5;"2017";46280
2017-12-01;"Citroën";"C3 Tendance 1.5 Flex 8V 5p Mec.";"manual";1,5;"2016";41411
2017-12-01;"Citroën";"C3 Tendance 1.6 VTi Flex Start 16V Aut.";"automatico";1,6;"0 km";61180
2017-12-01;"Citroën";"C3 Tendance 1.6 VTi Flex Start 16V Aut.";"automatico";1,6;"2018";55761
2017-12-01;"Citroën";"C3 Tendance 1.6 VTi Flex Start 16V Aut.";"automatico";1,6;"2017";52418
2017-12-01;"Citroën";"C3 Tendance 1.6 VTi Flex Start 16V Aut.";"automatico";1,6;"2016";43819
2017-12-01;"Citroën";"C3 Tendance Pure Tech 1.2 Flex 12V Mec.";"manual";1,2;"0 km";55134
2017-12-01;"Citroën";"C3 Tendance Pure Tech 1.2 Flex 12V Mec.";"manual";1,2;"2018";50692
2017-12-01;"Citroën";"C3 Tendance Pure Tech 1.2 Flex 12V Mec.";"manual";1,2;"2017";48985
2017-12-01;"Citroën";"C3 Tendance Pure Tech 1.2 Flex 12V Mec.";"manual";1,2;"2016";46523
2017-12-01;"Fiat";"ARGO DRIVE 1.0 6V Flex";"automatico";1;"0 km";47424
2017-12-01;"Fiat";"ARGO DRIVE 1.0 6V Flex";"automatico";1;"2018";42295
2017-12-01;"Fiat";"ARGO DRIVE 1.3 8V Flex";"automatico";1,3;"0 km";55576
2017-12-01;"Fiat";"ARGO DRIVE 1.3 8V Flex";"automatico";1,3;"2018";48764
2017-12-01;"Fiat";"ARGO DRIVE GSR 1.3 8V Flex";"automatico";1,3;"0 km";59793
2017-12-01;"Fiat";"ARGO DRIVE GSR 1.3 8V Flex";"automatico";1,3;"2018";53776
2017-12-01;"Fiat";"ARGO HGT 1.8 16V Flex Aut.";"automatico";1,8;"0 km";70696
2017-12-01;"Fiat";"ARGO HGT 1.8 16V Flex Aut.";"automatico";1,8;"2018";65412
2017-12-01;"Fiat";"ARGO HGT 1.8 16V Flex Mec.";"manual";1,8;"0 km";65291
2017-12-01;"Fiat";"ARGO HGT 1.8 16V Flex Mec.";"manual";1,8;"2018";59809
