regiao;estado;munic_code;municipio;altitude;tmed;ppt;koppen
Norte;RO;1100015;Alta Floresta D'Oeste;246,08;25,42;2313,07;Am
Norte;RO;1100023;Ariquemes;165,9;25,93;2451,48;Am
Norte;RO;1100031;Cabixi;224,18;25,55;2253,05;Am
Norte;RO;1100049;Cacoal;229,95;25,83;2370,35;Am
Norte;RO;1100056;Cerejeiras;192,22;25,64;2286,9;Am
Norte;RO;1100064;Colorado do Oeste;359,62;25,12;2293,84;Am
Norte;RO;1100072;Corumbiara;266,89;25,44;2311,92;Am
Norte;RO;1100080;Costa Marques;190,01;25,33;2416,83;Am
Norte;RO;1100098;Espigao D'Oeste;296,94;25,65;2485,38;Am
Norte;RO;1100106;Guajara-Mirim;197,96;25,32;2467,4;Am
Norte;RO;1100114;Jaru;209,76;25,78;2378,57;Am
Norte;RO;1100122;Ji-Parana;193,68;26;2421,97;Am
Norte;RO;1100130;Machadinho D'Oeste;136,83;26,29;2593,61;Am
Norte;RO;1100148;Nova Brasilandia D'Oeste;249,3;25,57;2278,96;Am
Norte;RO;1100155;Ouro Preto do Oeste;220,01;25,82;2352,07;Am
Norte;RO;1100189;Pimenta Bueno;286,28;25,6;2407,29;Am
Norte;RO;1100205;Porto Velho;120,26;25,86;2497,78;Am
Norte;RO;1100254;Presidente Medici;210,79;25,83;2261,11;Am
Norte;RO;1100262;Rio Crespo;153,27;26,04;2464,8;Am
Norte;RO;1100288;Rolim de Moura;242,23;25,65;2287,15;Am
Norte;RO;1100296;Santa Luzia D'Oeste;341,63;25,24;2299,54;Am
Norte;RO;1100304;Vilhena;409,37;25,17;2464,77;Am
Norte;RO;1100320;Sao Miguel do Guapore;236,82;25,47;2342,96;Am
Norte;RO;1100338;Nova Mamore;205,24;25,39;2504,1;Am
Norte;RO;1100346;Alvorada D'Oeste;248,65;25,55;2293,79;Am
Norte;RO;1100379;Alto Alegre dos Parecis;255,49;25,43;2307,72;Am
Norte;RO;1100403;Alto Paraiso;134,69;25,98;2451,31;Am
Norte;RO;1100452;Buritis;170,1;25,7;2489,82;Am
Norte;RO;1100502;Novo Horizonte do Oeste;252,89;25,56;2283,06;Am
Norte;RO;1100601;Cacaulandia;191,55;25,8;2422,58;Am
Norte;RO;1100700;Campo Novo de Rondonia;248,65;25,42;2466,54;Am
Norte;RO;1100809;Candeias do Jamari;103,22;26,17;2403,08;Am
Norte;RO;1100908;Castanheiras;201,43;25,82;2272,62;Am
Norte;RO;1100924;Chupinguaia;329,97;25,31;2347,48;Am
Norte;RO;1100940;Cujubim;128,98;26,22;2484,02;Am
Norte;RO;1101005;Governador Jorge Teixeira;279,41;25,4;2403,48;Am
Norte;RO;1101104;Itapua do Oeste;115,7;26,16;2418,44;Am
Norte;RO;1101203;Ministro Andreazza;304,56;25,54;2323,63;Am
Norte;RO;1101302;Mirante da Serra;271,69;25,45;2340,58;Am
Norte;RO;1101401;Monte Negro;201,29;25,7;2449,93;Am
Norte;RO;1101435;Nova Uniao;276,91;25,51;2317,67;Am
Norte;RO;1101450;Parecis;329,49;25,29;2318,77;Am
Norte;RO;1101468;Pimenteiras do Oeste;186,31;25,62;2288,48;Am
Norte;RO;1101476;Primavera de Rondonia;233,73;25,73;2323,23;Am
Norte;RO;1101484;Sao Felipe D'Oeste;251,28;25,63;2309,57;Am
Norte;RO;1101492;Sao Francisco do Guapore;173,21;25,54;2364,42;Am
Norte;RO;1101500;Seringueiras;211,42;25,48;2360,26;Am
Norte;RO;1101559;Teixeiropolis;219,42;25,76;2273,93;Am
Norte;RO;1101609;Theobroma;178,32;25,99;2452,78;Am
Norte;RO;1101708;Urupa;223,46;25,7;2278,77;Am
Norte;RO;1101757;Vale do Anari;159,34;26,18;2558,92;Am
Norte;RO;1101807;Vale do Paraiso;182,73;25,99;2408,68;Am
Norte;AC;1200013;Acrelandia;165,47;24,99;2288,33;Am
Norte;AC;1200054;Assis Brasil;305,21;23,61;2416,51;Af
Norte;AC;1200104;Brasileia;273,61;23,95;2297,1;Af
Norte;AC;1200138;Bujari;189,97;24,6;2158,93;Am
Norte;AC;1200179;Capixaba;197,4;24,6;2105,45;Am
Norte;AC;1200203;Cruzeiro do Sul;226,06;23,02;2333,08;Af
Norte;AC;1200252;Epitaciolandia;243,8;24,19;2242,02;Am
Norte;AC;1200302;Feijo;251,14;23,65;2409,12;Af
Norte;AC;1200328;Jordao;330,41;23,04;2406,4;Af
Norte;AC;1200336;Mancio Lima;257,6;22,69;2334,88;Af
Norte;AC;1200344;Manoel Urbano;233,58;23,97;2379,61;Af
Norte;AC;1200351;Marechal Thaumaturgo;282,43;22,93;2432,81;Af
Norte;AC;1200385;Placido de Castro;179,76;24,81;2158,95;Am
Norte;AC;1200393;Porto Walter;244,35;22,99;2374,66;Af
Norte;AC;1200401;Rio Branco;209,03;24,45;2135,12;Am
Norte;AC;1200427;Rodrigues Alves;250,56;22,79;2313,63;Af
Norte;AC;1200435;Santa Rosa do Purus;251,66;23,74;2385,35;Af
Norte;AC;1200450;Senador Guiomard;177,03;24,82;2149,59;Am
Norte;AC;1200500;Sena Madureira;231,54;24,1;2285,62;Am
Norte;AC;1200609;Tarauaca;252,67;23,43;2349,87;Af
Norte;AC;1200708;Xapuri;227,59;24,31;2184,28;Am
Norte;AC;1200807;Porto Acre;172,78;24,78;2184,48;Am
Norte;AM;1300029;Alvaraes;78,54;25,66;2796,51;Af
Norte;AM;1300060;Amatura;83,74;24,72;3014,97;Af
Norte;AM;1300086;Anama;40,78;26,66;2732,23;Af
Norte;AM;1300102;Anori;35,18;26,66;2707,45;Af
Norte;AM;1300144;Apui;154,7;26,74;2943,41;Am
Norte;AM;1300201;Atalaia do Norte;157,3;23,5;2950,42;Af
