cod;cidade;uf;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
82704;Cruzeiro do Sul;AC;257,9;277,3;299,4;244,1;162,6;86,5;65,7;85,9;134,5;215,4;230,7;223
82915;Rio Branco;AC;289;284,8;230,2;190,3;93,2;31,6;43,7;38,4;89,6;170,8;221,2;264,7
82807;Tarauacá;AC;286,6;264,1;308,5;198,3;120,5;53,4;64,5;80,4;104,4;197;241,6;272
83098;Coruripe;AL;21,6;46,9;166,6;139,4;190,4;223,8;153,4;98,1;64,5;35,6;14,8;24,4
82994;Maceió;AL;78,1;88,3;194,5;268,8;382,2;331,9;273,7;155,2;130,3;73,5;31,7;62,5
82988;Mata Grande;AL;62,1;80,4;111,2;98,9;178,7;176,1;206,7;102;44;16,6;28,5;64,1
82992;Palmeira dos Índios;AL;15,1;26,3;87,2;102,3;163,5;198,3;139,9;51,9;47,9;9,5;10,6;74,3
82113;Barcelos;AM;206,7;174;274,2;302,7;338;256,5;198,5;155,8;137,4;150,6;184,1;169,5
82410;Benjamin Constant;AM;332,7;276,6;326,3;294,8;245,2;134,6;135,6;128,6;166,6;242,1;244,8;293,6
82418;Carauari;AM;333,9;232,4;318,1;314,9;229,8;136,8;102,9;107,8;171,4;216,2;260,5;266,4
82425;Coari;AM;231,5;207,4;231,7;253,6;211,1;109,7;83,4;73,7;99;168,8;167;232,3
82326;Codajás;AM;254,4;253,1;328,5;286,1;230,3;99,5;82,8;88,2;104,5;191,8;166,5;264
82610;Eirunepé;AM;229,4;239;256,1;263,9;169,5;102,5;91,1;58,2;139;156;257,7;233,7
82212;Fonte Boa;AM;235,9;200,3;265,9;283,3;282;238,1;175,7;153,4;149,7;190,5;189,3;199
82727;Humaitá;AM;267,7;260,3;326;259,2;160,1;56,3;19,9;58,7;109,2;188,7;224,2;263,4
82067;Iauaretê;AM;292,4;217;299,3;353,1;417,3;368,7;350,6;278,5;255,4;259,1;223,4;241
82336;Itacoatiara;AM;335,8;294,9;348;326,9;275,8;176;129,5;82,8;87,6;113,2;138,2;230,9
82723;Lábrea;AM;356,3;370,4;371,8;315,6;166,5;78,3;45,7;83,7;130,3;189;225,8;310,8
82331;Manaus;AM;264,2;289,5;335,4;311,2;279,3;115,4;85,4;47,3;73,7;112,6;173,8;219,6
82533;Manicoré;AM;334,7;367,9;293,5;338,8;222,1;107,7;74,7;75,5;143,7;223,8;231,7;285,2
82100;Paricachoeira;AM;219,7;228,2;330;341,6;402,5;340;325,4;293,3;210,7;228,9;199,6;216,9
82240;Parintins;AM;237,5;321,9;324,2;308,4;262,9;203,7;132,9;76,1;58,5;76,1;105,7;194,3
82105;Rio Içana;AM;248,7;228,3;289,2;345,5;464,9;373;274,9;290,5;263,2;212,6;237,7;231,8
82106;S. G. da Cachoeira (Uaupés);AM;286,4;231,8;241,7;294,1;325,6;285,8;247,6;193,7;194,2;180,1;191,4;261,9
82108;Santa Izabel do Rio Negro;AM;232,8;179,5;270,7;290,9;319;255,6;212,6;173,6;151,1;153,7;160,3;163,1
82103;Taracuá;AM;293,3;275,8;372,4;358,4;406,8;352,3;310,2;259,4;249,1;251,4;236;272,5
