N_tume;Esp;I_meses;Parc_m2;DAPmed;DAPsd;Hmed;Hsd;Hdom;N_fuste;Sobr;G;V;IMA;B
0;Clone_1;52;1425,6;11,4;1,4;16,5;1,3;17,8;1789;96,6;18,4;154;35,5;
0;Clone_2;52;1425,6;10,2;1,4;15,9;1,4;16,6;1662;89,8;13,9;113;26,1;
0;Clone_3;52;1425,6;10,7;1,6;15;1,3;16,1;1824;98,5;16,7;127;29,3;
0;E_benthamii;52;1425,6;9;2,7;9,8;2,3;13;1494;81,4;10,4;56;12,9;28
0;E_botryoides;52;1425,6;9,1;4,3;10,8;3,4;15,3;1368;75,8;11;72;16,6;40
0;E_camaldulensis;52;1425,6;8,3;2,9;8,3;2,3;11,8;1557;84,8;9,4;45;10,4;28
0;E_citriodora;52;1425,6;8;3,5;8,3;2,8;12;954;53;5,8;29;6,7;21
0;E_cloeziana;52;928,8;7,5;2,5;7;2;9,6;1367;76,7;6,7;27;6,2;18
0;E_deanei;52;1425,6;10,6;2,9;11,3;1,8;13,4;1087;58,7;10,4;62;14,3;32
0;E_dunnii;52;1425,6;6,7;3,7;6,1;2,4;10,3;779;42,4;3,5;15;3,5;8
0;E_grandis;52;1425,6;11,5;3;15,2;2,5;17,8;1501;81,1;16,7;134;30,9;66
0;E_maculata;52;1425,6;8,9;3,2;8,9;2,4;11,8;1473;80,3;10,3;52;12;35
0;E_microcorys;52;1009,8;10,5;2,6;10;1,8;11,3;1337;72,7;12,2;64;14,8;41
0;E_paniculata;52;1425,6;7,4;3,3;6,9;2,5;10,6;1347;76,1;7;30;6,9;22
0;E_pellita;52;1425,6;8,4;3,3;10,1;2,4;13;1564;86,4;10,1;58;13,4;34
0;E_pilularis;52;1069,2;9,4;3,7;9,6;2,9;12,6;1478;81,8;11,8;67;15,5;42
0;E_propinqua;52;1425,6;8,3;3,3;9,3;2,7;13,4;1459;79,9;9,1;50;11,5;32
0;E_resinifera;52;1425,6;8,9;3;9,5;2,4;12,8;1494;83,7;10,3;55;12,7;39
0;E_robusta;52;1425,6;9;3,5;9,9;2,6;13,9;1557;84,1;11,3;64;14,8;42
0;E_saligna;52;1425,6;10,4;3,5;13,1;3,1;16,6;1480;79,9;14;103;23,8;55
0;E_torelliana;52;1425,6;7,3;2,6;6,4;1,6;9,3;1719;93,9;8,1;29;6,7;19
0;E_urophylla;52;1425,6;10,1;3,2;11,9;2,8;14,9;1627;91,7;14,2;94;21,7;50
0;E_viminalis;52;1425,6;9,6;3,4;9,2;2,1;12,4;1080;58,7;8,8;46;10,6;23
0;Clone_1;70;1425,6;12,3;1,8;18,9;1;19,3;1796;97;21,9;209;35,8;
0;Clone_2;70;1425,6;11;1,5;17,4;1;18,1;1662;89,8;16;141;24,2;
0;Clone_3;70;1425,6;11,4;1,9;16,2;2;17,6;1824;98,5;19,2;164;28,1;
0;E_benthamii;70;1425,6;9,5;3,2;11,1;3,6;14,2;1536;82,2;12,2;76;13;37
0;E_botryoides;70;1425,6;10,3;4,9;11,9;3,5;14,8;1340;72,3;13,7;97;16,6;54
0;E_camaldulensis;70;1425,6;8,7;3,3;9,5;3,5;11,8;1571;84,8;10,7;56;9,6;35
0;E_citriodora;70;1425,6;9,9;4,1;11,1;3,8;14,3;1207;65,2;10,8;72;12,3;53
0;E_cloeziana;70;928,8;11,2;3,5;12,2;2,8;14,5;1389;75;14,9;98;16,8;64
0;E_deanei;70;1425,6;11,4;3,3;13,5;1,9;14,3;1059;57,2;11,7;85;14,6;43
0;E_dunnii;70;1425,6;7,7;4,2;5,4;1,6;6,3;708;38,3;4,3;17;2,9;9
0;E_grandis;70;1425,6;12,2;3,6;17,5;4,1;20,2;1501;81,1;19,2;180;30,9;89
0;E_maculata;70;1425,6;9,4;3,9;10,5;3,3;13,2;1508;78,8;12,4;74;12,7;50
0;E_microcorys;70;1009,8;12,6;3,1;12,2;1,6;12,8;1337;72,2;17,6;109;18,7;69
0;E_paniculata;70;1425,6;8,5;4,1;8,2;3,3;10,6;1368;73,9;9,6;46;7,9;34
0;E_pellita;70;1425,6;9,8;3,8;11,2;3,1;13,9;1592;85,2;13,8;90;15,4;53
0;E_pilularis;70;1069,2;11,8;4,8;12,2;4,2;15,3;1496;80,8;19;140;24;87
0;E_propinqua;70;1425,6;9,1;3,9;10,4;3,3;13,1;1494;79,9;11,4;71;12,2;46
0;E_resinifera;70;1425,6;9,6;3,8;11,5;2,8;13,9;1529;82,2;12,8;81;13,9;58
0;E_robusta;70;1425,6;9,7;4,2;11,5;3,5;14,2;1571;81,8;13,8;90;15,4;60
0;E_saligna;70;1425,6;11,5;4;15,2;3,3;17,7;1431;76,9;16,6;140;24;75
0;E_torelliana;70;1425,6;7,9;3;7,6;2,4;9,2;1676;90,5;9,5;42;7,2;28
0;E_urophylla;70;1425,6;10,3;3,8;12,5;3,1;14,9;1691;91,3;16;111;19;59
