"Esp";"I_meses";"Parc_m2";"N_arv";"DAP_cm";"H_m";"Vol"
"E_camaldulensis";34;288;1;5,411268065;7,65148990244183;0,00879840587853276
"E_camaldulensis";34;288;2;12,25493062;11,4240456682602;0,0673754269102436
"E_camaldulensis";34;288;3;3,978873577;5,909204961559;0,00367374679388549
"E_camaldulensis";34;288;4;6,429859701;8,57287335373954;0,0139183991571834
"E_camaldulensis";34;288;5;9,67662054;10,4989569793946;0,0386058806470975
"E_camaldulensis";34;288;6;5,665915974;7,90233828113733;0,00996221159541244
"E_camaldulensis";34;288;7;;;
"E_camaldulensis";34;288;8;7,384789359;9,26934029293775;0,0198511164112215
"E_camaldulensis";34;288;9;9,963099438;10,6208278331055;0,04140065234452
"E_camaldulensis";34;288;10;6,238873769;8,41580753207621;0,0128637644095045
"E_camaldulensis";34;288;11;9,963099438;10,6208278331055;0,04140065234452
"E_camaldulensis";34;288;12;4,329014452;6,39466161639314;0,00470603903390443
"E_camaldulensis";34;288;13;11,23633898;11,100503143258;0,055036678372131
"E_camaldulensis";34;288;14;8,944507802;10,1596440730956;0,0319191467575084
"E_camaldulensis";34;288;15;6,270704758;8,44244423565677;0,0130364935276521
"E_camaldulensis";34;288;16;;;
"E_camaldulensis";34;288;17;11,07718404;11,0455109145118;0,0532236233927693
"E_camaldulensis";34;288;18;9,421972631;10,3856809597144;0,0362058326498344
"E_camaldulensis";34;288;19;7,257465405;9,18420600430832;0,0189964063443934
"E_camaldulensis";34;288;20;8,435211984;9,89674667246745;0,0276531329698816
"E_camaldulensis";34;288;21;9,89943746;10,5942352839273;0,0407709219422697
"E_camaldulensis";34;288;22;10,18591636;10,7117847514574;0,0436437374269452
"E_camaldulensis";34;288;23;6,525352667;8,64899075472891;0,0144621644406234
"E_camaldulensis";34;288;24;9,262817688;10,3123809947461;0,0347460202243276
"E_camaldulensis";34;288;25;12,60507149;11,525061711416;0,0719107422491156
"E_camaldulensis";34;288;26;8,085071109;9,70135622189232;0,0249034791829968
"E_camaldulensis";34;288;27;6,652676621;8,74807893331319;0,0152042641262586
"E_camaldulensis";34;288;28;7,639437268;9,4332756341897;0,0216194752305805
"E_camaldulensis";34;288;29;9,390141642;10,3711786074286;0,0359113958169859
"E_camaldulensis";34;288;30;9,199155711;10,2825004335716;0,0341707540355709
"E_camaldulensis";34;288;31;6,270704758;8,44244423565677;0,0130364935276521
"E_camaldulensis";34;288;32;;;
"E_camaldulensis";34;288;33;10,12225438;10,6861272299979;0,0429966600154976
"E_camaldulensis";34;288;34;5,602253997;7,84102096610729;0,00966402603083089
"E_camaldulensis";34;288;35;11,26816997;11,111347339158;0,0554030135534472
"E_camaldulensis";34;288;36;6,970986507;8,98442288321834;0,0171450420759162
"E_camaldulensis";34;288;37;8,244226052;9,79174299881461;0,0261348297068133
"E_camaldulensis";34;288;38;10,18591636;10,7117847514574;0,0436437374269452
"E_camaldulensis";34;288;39;;;
"E_camaldulensis";34;288;40;9,89943746;10,5942352839273;0,0407709219422697
"E_camaldulensis";34;288;41;10,24957834;10,737184006201;0,0442957724916758
"E_camaldulensis";34;288;42;10,37690229;10,7872228781765;0,0456147178001162
"E_camaldulensis";34;288;43;9,040000768;10,2063521610274;0,0327542281392071
"E_camaldulensis";34;288;44;4,583662361;6,72147143543828;0,00554561201319155
"E_camaldulensis";34;288;45;8,085071109;9,70135622189232;0,0249034791829968
"E_camaldulensis";34;288;46;;;
"E_camaldulensis";34;288;47;9,262817688;10,3123809947461;0,0347460202243276
"E_camaldulensis";34;288;48;14,2602829;11,9447078954584;0,0953875516914613
"E_citriodora";34;288;1;8,658028904;11,3797823067818;0,0334990046045669
"E_citriodora";34;288;2;8,276057041;11,0145899717209;0,0296261468397791
"E_citriodora";34;288;3;9,867606472;12,4095667883342;0,0474504296041266
"E_citriodora";34;288;4;9,517465597;12,1296786826972;0,0431471200879811
"E_citriodora";34;288;5;8,435211984;11,1693162317703;0,0312089009814773
"E_citriodora";34;288;6;6,111549815;8,47715043391059;0,0124340465204142
"E_citriodora";34;288;7;6,748169587;9,31685436387312;0,0166610040149332
"E_citriodora";34;288;8;8,339719018;11,0769292907676;0,0302539515014708
"E_citriodora";34;288;9;12,98704336;14,4026101536788;0,0953941345343191
"E_citriodora";34;288;10;4,806479281;6,4593680683817;0,00586008704597185
"E_citriodora";34;288;11;8,403380995;11,1386689087463;0,0308888179428009
"E_citriodora";34;288;12;8,276057041;11,0145899717209;0,0296261468397791
"E_citriodora";34;288;13;11,61831085;13,6249819416453;0,0722240444843539
"E_citriodora";34;288;14;9,135493733;11,8079678169506;0,038698942234838
"E_citriodora";34;288;15;5,952394872;8,25323224231572;0,0114833187391023
"E_citriodora";34;288;16;2,578310078;2,14983376967971;0,000561222480012673
"E_citriodora";34;288;17;11,26816997;13,4038273022946;0,0668336973932963
"E_citriodora";34;288;18;6,302535746;8,73827732994601;0,0136306430435859
"E_citriodora";34;288;19;9,230986699;11,8900661253306;0,0397869278153474
"E_citriodora";34;288;20;;;
"E_citriodora";34;288;21;7,002817496;9,62916907472405;0,0185436112587005
"E_citriodora";34;288;22;6,875493542;9,47461666201546;0,0175885197327058
"E_citriodora";34;288;23;;;
"E_citriodora";34;288;24;8,435211984;11,1693162317703;0,0312089009814773
"E_citriodora";34;288;25;10,56788822;12,9300957507588;0,0567071797186994
"E_citriodora";34;288;26;9,071831756;11,7525983390756;0,0379825181564567
"E_citriodora";34;288;27;7,8304232;10,5607574833745;0,0254287741248784
"E_citriodora";34;288;28;10,6315502;12,9750025955917;0,0575917834341847
"E_citriodora";34;288;29;7,289296394;9,96557492094485;0,0207937808983685
"E_citriodora";34;288;30;10,82253613;13,1074528729699;0,060288749971859
"E_citriodora";34;288;31;6,46169069;8,94974778491264;0,0146744898682433
"E_citriodora";34;288;32;9,517465597;12,1296786826972;0,0431471200879811
"E_citriodora";34;288;33;9,167324722;11,8354605644972;0,0390598236821047
"E_citriodora";34;288;34;4,074366543;5,13862565954591;0,00334986311415543
