N_tume;I_meses;Esp;Parc_m2;N_arv;DAP_cm;H_m;Cod;Cod2
55;24;E_botryoides;600;1;4,1;6,5;;
55;24;E_botryoides;600;2;9,7;8;;
55;24;E_botryoides;600;3;;;5;
55;24;E_botryoides;600;4;7,6;7,5;2;
55;24;E_botryoides;600;5;3,8;5;;
55;24;E_botryoides;600;6;;;1;
55;24;E_botryoides;600;7;12,6;9;6;
55;24;E_botryoides;600;8;;;1;
55;24;E_botryoides;600;9;7;8;;
55;24;E_botryoides;600;10;7,5;7,5;;
55;24;E_botryoides;600;11;;;1;
55;24;E_botryoides;600;12;;;1;
55;24;E_botryoides;600;13;6;5;;
55;24;E_botryoides;600;14;10,2;10;11;
55;24;E_botryoides;600;15;8,3;8,5;2;
55;24;E_botryoides;600;16;6;6,5;;
55;24;E_botryoides;600;17;8,4;7,5;;
55;24;E_botryoides;600;18;5,4;5,5;;
55;24;E_botryoides;600;19;8,3;7,5;;
55;24;E_botryoides;600;20;3,8;6;;
55;24;E_botryoides;600;21;10,2;11;;
55;24;E_botryoides;600;22;12,1;10,5;6;
55;24;E_botryoides;600;23;7,3;7,5;11;
55;24;E_botryoides;600;24;15,8;13;6;
55;24;E_botryoides;600;25;;;1;
55;24;E_botryoides;600;26;;;1;
55;24;E_botryoides;600;27;;1,5;9;
55;24;E_botryoides;600;28;10;10;;
55;24;E_botryoides;600;29;10,3;10,5;;
55;24;E_botryoides;600;30;11,8;11;;
55;24;E_botryoides;600;31;3;3;11;9
55;24;E_botryoides;600;32;2,5;3,5;9;
55;24;E_botryoides;600;33;10,7;9,5;;
55;24;E_botryoides;600;34;11,3;11;;
55;24;E_botryoides;600;35;10,5;10,5;;
55;24;E_botryoides;600;36;7;9;;
55;24;E_botryoides;600;37;4,3;5,5;11;
55;24;E_botryoides;600;38;11,9;9,5;;
55;24;E_botryoides;600;39;5,9;5,5;11;
55;24;E_botryoides;600;40;7;7;;
55;24;E_botryoides;600;41;3,8;4,5;;
55;24;E_botryoides;600;42;9,9;10;;
55;24;E_botryoides;600;43;5,3;5,5;;
55;24;E_botryoides;600;44;;;1;
55;24;E_botryoides;600;45;7,8;9,5;;
55;24;E_botryoides;600;46;8,4;8,5;11;
